datetime,trade_code,open,high,low,close,volume,amount,chg,pctchg
2001/3/26,000001.SH,2052.055,2089.987,2052.055,2089.881,2131132300,14310990617,36.342,1.769725
2001/3/27,000001.SH,2096.502,2107.302,2090.902,2107.258,1798430500,15898231606,17.377,0.831483
2001/3/28,000001.SH,2109.755,2112.879,2096.917,2106.874,1571755900,15209667765,-0.384,-0.018223
2001/3/29,000001.SH,2107.224,2111.734,2096.934,2101.658,1553537600,15283496688,-5.216,-0.247571
2001/3/30,000001.SH,2101.1,2112.833,2096.284,2112.775,2439539100,13560668736,11.117,0.528963
2001/4/2,000001.SH,2117.45,2126.967,2114.778,2125.084,2373835600,15302089271,12.309,0.582599
2001/4/3,000001.SH,2127.781,2129.829,2109.251,2123.052,2060855500,12823849329,-2.032,-0.09562
2001/4/4,000001.SH,2123.885,2128.157,2084.93,2090.719,2081239900,14766596329,-32.333,-1.522949
2001/4/5,000001.SH,2084.807,2112.619,2081.644,2112.6,2305954200,11267333518,21.881,1.046578
2001/4/6,000001.SH,2116.377,2122.22,2103.264,2108.606,3741648800,10596703339,-3.994,-0.189056
2001/4/9,000001.SH,2108.969,2117.411,2100.972,2117.367,2587892600,11780114412,8.761,0.415488
2001/4/10,000001.SH,2119.538,2128.547,2119.359,2128.479,2076245200,10866473107,11.112,0.524803
2001/4/11,000001.SH,2130.895,2134.507,2121.156,2131.397,1532366100,11560119546,2.918,0.137093
2001/4/12,000001.SH,2132.808,2141.917,2124.815,2134.798,1878638400,17650622902,3.401,0.159567
2001/4/13,000001.SH,2135.669,2145.437,2130.594,2145.4,1874717300,13652048108,10.602,0.496628
2001/4/16,000001.SH,2150.292,2168.078,2150.286,2168.059,3151184400,19551496827,22.659,1.056167
2001/4/17,000001.SH,2173.304,2177.158,2163.191,2176.679,2855257700,20671818346,8.62,0.397591
2001/4/18,000001.SH,2177.987,2179.741,2167.593,2172.564,2212785100,18518058145,-4.115,-0.189049
2001/4/19,000001.SH,2172.431,2175.575,2148.308,2172.87,2454431500,19874416346,0.306,0.014085
2001/4/20,000001.SH,2173.956,2179.57,2152.006,2152.335,2281270300,21906310129,-20.535,-0.945063
2001/4/23,000001.SH,2150.341,2157.512,2132.55,2150.426,2182788400,18665045955,-1.909,-0.088694
2001/4/24,000001.SH,2151.341,2166.19,2151.339,2166.174,1351537200,14266589779,15.748,0.73232
2001/4/25,000001.SH,2168.051,2170.387,2115.264,2119.18,1819485500,17711213174,-46.994,-2.169447
2001/4/26,000001.SH,2113.391,2125.788,2102.825,2105.056,1328548300,13482611315,-14.124,-0.666484
2001/4/27,000001.SH,2104.034,2120.844,2104.034,2115.109,1362535000,10974030209,10.053,0.477564
2001/4/30,000001.SH,2117.168,2122.503,2111.952,2119.184,1091178200,10497143984,4.075,0.192661
2001/5/8,000001.SH,2119.898,2138.038,2119.894,2137.994,848036700,8704695654,18.81,0.887606
